categoria,titulo,subtitulo
"Pais","PSD e PS chegam a acordo sobre criminalizaçao de maus-tratos a animais","PSD e PS chegaram a acordo sobre um projeto que criminaliza a violência contra animais. O social-democrata Cristovao Norte disse hoje que o texto final prevê que seja inscrito no Codigo Penal multas e penas de prisao a quem maltrate ou abandone animais."
"Pais","Governo critica BE por aproveitamento politico da violência doméstica","O Bloco de Esquerda levou hoje a debate, em plenário, os numeros da violência contra mulheres. Todas as bancadas reconhecem que os numeros sao preocupantes, mas o Governo acusa os bloquistas de oportunismo politico por ter recorrido a um debate de urgência."
"Economia","Mais 170 novos nomes por dia na lista de devedores","O numero de devedores inscritos na lista publica do Ministério da Justiça subiu quase 80% em relaçao a 2013. O registo de particulares e empresas alvo de acções de execuçao está a crescer a um ritmo diário de quase 170 por dia."
"Pais","Tribunal de Contas recomenda rentabilizaçao de bens declarados perdidos","Um relatorio do Tribunal de Contas (TdC) relativo a 2013 considera que a Direçao Regional do Patrimonio da Madeira (DRPA) nao está a rentabilizar de forma adequada os bens declarados perdidos a favor da regiao."
"Politica","Novos secretários do Governo prometem dar novo dinamismo às pastas","Os quatro novos secretários regionais do Governo dos Açores, que tomaram hoje posse no âmbito de uma remodelaçao do executivo, prometeram servir os açorianos e dar novo dinamismo às pastas que aceitaram assumir."
"Pais","PSD diz que a greve dos médicos é extemporânea","O PSD diz que a greve dos médicos está fortemente politizada e critica quer a Federaçao Nacional dos Médicos, afeta à CGTP, quer o Bastonário dos Médicos. Miguel Santos considera que os mais penalizados sao os utentes do Serviço Nacional de Saude e sublinha que a paralizaçao era evitável, sobretudo numa altura em que está em curso negociaçao com os médicos."
"Pais","Pais e autarcas manifestam-se contra fecho de escola","Pais e autarcas de Gonça, Guimaraes, manifestaram-se hoje, no Porto, contra o anunciado encerramento da escola do 1.º ciclo da freguesia, mas voltaram a casa com a garantia de que a decisao é irrevogável."
"Gente","Cristiano Ronaldo chora morte da av� paterna","Filomena Martins Pereira, av� paterna de Cristiano Ronaldo, morreu, esta ter�a-feira, no hospital onde estava internada h� tr�s semanas. A not�cia foi dada pela irm� do jorgador, K�tia Aveiro, atrav�s do Facebook."
"Pais","PS solidário com greve dos médicos","O socialista Álvaro Beleza mostrou-se hoje solidário com a greve dos médicos. Mais de metade dos médicos portugueses estao em greve, segundo a estimativa federaçao nacional do setor."
"Mercados","BCE precisa de um euro fraco","Em declarações ao Etv, Tiago Cardoso, analista da XTB, antecipa as conclusões da divulgaçao das actas do Fed e o inicio da earnings season nos EUA."
"Portugal","Câmara de Famalicao oferece manuais escolares a todos os alunos do 1.º ciclo","Entretanto, a Câmara de Famalicao criou também um Banco de Livros Escolares para os 2.º e 3.º ciclos e ensino secundário"
"Dinheiro","Autarcas da Peneda Gerês querem investimentos de 9 milhões no Parque Nacional ","Joao Esteves sublinhou a importância de reforçar o investimento na promoçao do territorio, no desenvolvimento socioeconomico, na natureza e ambiente"
"economia","Restrições salariais em bancos intervencionados passam a abranger cargos de direcçao","Novas regras nao sao aplicáveis ao BCP, ao Banif e ao BPI, mas sim a instituições financeiras que no futuro venham a recorrer a ajuda do Estado."
"Economia","Angel Gurria alinha em ligar aumento do salário minimo à produtividade","O secretário-geral da OCDE, Angel Gurria, alinhou hoje com a posiçao do Governo de que o aumento dos salários, e em especial do salário minimo, deve estar diretamente ligado ao aumento da produtividade."
"Pais","PJ deteve quatro homens por sequestro e agressões","A Policia Judiciária (PJ) deteve quatro homens suspeitos de sequestro agravado, roubo e agressões violentas a um outro individuo, revelou hoje aquela policia em comunicado."
"Mercados","PSI 20 anula ganhos de 2014","Fortes quedas da banca e da Portugal Telecom empurram Lisboa para niveis do inicio do ano. No resto da Europa e nos EUA, com a proximidade da época de apresentaçao de resultados, cautela é a palavra de ordem."
"Seguranca","Detido suspeito de abusar de irm� menor de ex-companheira","A Pol�cia Judici�ria anunciou, esta ter�a-feira, a deten��o de um homem de 23 anos pela alegada pr�tica de crime de abuso sexual de uma crian�a de 12 anos, em Vila Nova de Foz C�a."
"Portugal","Manif dos médicos. Segurar o SNS com toda a força",?
"Economia","Gurria alinha em ligar aumento do salário minimo à produtividade","O secretário-geral da OCDE, Angel Gurria, alinhou hoje com a posiçao do Governo de que o aumento dos salários, e em especial do salário minimo, deve estar diretamente ligado ao aumento da produtividade."
"Mundo","Corpo de alpinista encontrado passados 32 anos","Um grupo de alpinistas encontrou o corpo de um montanheiro de 23 anos que desapareceu no Monte Branco, a mais alta elevaçao dos Alpes, em 1982, informou hoje a guarda de alta montanha de Chamonix."
"Mundo","Catalunha quer bloquear acesso à plataforma de partilha de quartos","O Governo regional da Catalunha anunciou hoje que está a estudar impedir o acesso na regiao à plataforma de partilha de quartos Airbnb, um êxito da economia colaborativa, por considerar ilegal a oferta desta empresa."
"economia","Ex-deputado do PSD vai liderar Casa da Moeda","Nova administraçao, liderada por Rui Carp, já recebeu parecer positivo da comissao de recrutamento. Ex-presidente despede-se a citar Sérgio Godinho."
"Pais","Quatro jovens acusados de coaçao sexual em Almada","O Ministério Publico acusou quatro jovens de rapto e coacçao sexual sobre uma rapariga de 14 anos. Os rapazes eram colegas de escola da rapariga e terao cometido os crimes por duas vezes."
"Empresas/Finanças","PT pode ficar com participaçao na Oi reduzida a metade","No pior cenário a PT pode ficar com 20% da empresa que resultar da fusao com a Oi, noticiam os meios brasileiros."
"Fama","Kim Kardashian coloca familia em primeiro lugar","Kim Kardashian prefere ficar em casa com o marido, Kanye West, e a filha, North, do que ir trabalhar."
"local","PJ deteve quatro homens por suspeitas de sequestro e agressões violentas",?
"Desporto","Spray da Copa será usado na Champions","Os sprays que os árbitros têm utilizado na marcaçao de livres diretos, no mundial de futebol que decorre no Brasil, vao também ser usados nos jogos da Liga dos Campeões, noticia A Bola."
"Desporto","Antonio Simões diz que Oblak revela ingratidao","Antonio Simões, antiga gloria do Benfica, faz duras criticas ao guarda-redes Oblak, que faltou à apresentaçao e está a forçar a saida para o Atlético de Madrid."
"Economia/Politica","Governo vai juntar serviços na área da Segurança Social","O ministro Mota Soares anunciou hoje que vai juntar no mesmo espaço alguns serviços do Instituto de Gestao Financeira da Segurança Social e do Instituto da Segurança Social. Autonomia continuará garantida."
"Mundo","Israel intensifica raides a�reos em Gaza e mobiliza 40 mil reservistas","Pelo menos 12 palestinianos morreram e mais de 70 ficaram feridos em raides israelitas na Faixa de Gaza, enquanto o governo judaico decidiu convocar 40 mil reservistas na perspetiva de uma poss�vel ofensiva terrestre contra o enclave."
"Mundial 2014","Inglês preso por venda ilegal de bilhetes foi solto","O britânico envolvido na máfia de venda ilegal de ingressos para o Mundial, preso na tarde desta segunda-feira no Rio de Janeiro, foi solto esta madrugada, apos a justiça acatar o pedido de habeas corpus feito pelos seus advogados."
"Pais","Adesao em Évora e Portalegre ronda os 50%","Cerca de metade dos médicos dos hospitais de Évora e de Portalegre aderiu hoje ao primeiro de dois dias de greve nacional dos clinicos, segundo fontes sindicais e das administrações hospitalares contactadas pela agência Lusa."
"politica","Passos recusa baixar TSU ou subir IVA apesar de proposta da OCDE","Primeiro-ministro nao se compromete com eventual reduçao do IRS e Angel Gurria esquiva-se a dizer se Portugal tem condições de produtividade para aumentar agora o salário minimo."
"empresas","Banco de fomento do Brasil ataca acto de gestao da PT","O BNDES, que é accionista da Oi, critica a aplicaçao de 900 milhões de euros em papel comercial da Rioforte feita pela PT. Diz ser contra os bons principios de governaçao. Mas aproveita para dar o voto de confiança a Zeinal Bava, enquanto presidente da Oi."
"Economia","CES pode ser a nova nega do Constitucional","O memorando do presidente do Tribunal Constitucional (TC) está pronto e traz na manga mais um chumbo para o Governo. Segundo o Observador, os juizes do Palácio Ratton preparam-se para dar uma nega à Contribuiçao Extraordinária de Solidariedade (CES)."
"Pais","Barcelos pede medidas para esbater ponto negro na EN-103","A Câmara de Barcelos apelou hoje à empresa Estradas de Portugal para que diligencie rapidamente pela implementaçao de medidas para reduzir o grau de perigosidade de um troço da EN-103 tido como ponto negro em termos de sinistralidade rodoviária."
"Politica","Maioria chumba audiçao a Barroso, Portas ouvido dia 18","A maioria rejeitou hoje o pedido do BE para ouvir o antigo primeiro-ministro Durao Barroso na Comissao Parlamentar de Inquérito à Aquisiçao de Equipamentos Militares, mas aprovou a audiçao do ex-ministro da Defesa e atual vice-primeiro-ministro, Paulo Portas."
"Cultura","Três curtas portuguesas no Festival Ibérico de Cinema","Três curtas-metragens portuguesas vao estar presentes na 20.ª ediçao do Festival Ibérico de Cinema de Badajoz, que vai decorrer na cidade espanhola entre os dias 16 e 19 deste mês, anunciou hoje a organizaçao."
"Desporto","Rui Costa atribui favoritismo a Espanha nos Mundiais","O campeao do Mundo de ciclismo de fundo, o português Rui Costa (Lampre-Merida), atribuiu hoje o favoritismo à seleçao espanhola nos Mundiais de Ponferrada, onde vai defender o titulo sem nenhuma obsessao."
"Pais","Programa da SIC Noticias vence Curtas Cientificas","O programa da SIC Noticias Biodiversidade no Hipermercado ganhou o prémio de Curtas Cientificas no concurso internacional Ciência em Açao em Barcelona. O projeto foi desenvolvido pelo Departamento de Biologia da Universidade de Aveiro, em parceria com a produtora TerraLiquida e os Hipermercados Jumbo e financiado pela Agência Nacional Ciência Viva, através do programa Compete. O prémio será entregue em outubro em Barcelona pela comissao organizadora do concurso internacional."
"Mundo","Acidente em montanha russa faz quatro feridos nos EUA","Quatro pessoas ficaram feridas e mais de 20 ficaram presas durante três horas numa montanha russa de Los Angeles, nos Estados Unidos. O aparelho descarrilou por causa do galho de uma árvore."
"Desporto","Atlético de Madrid oferece 16 milhões de euros por Oblak","Oblak está a caminho do Atlético de Madrid. Os colchoneros apresentaram ao Benfica uma oferta de 16 milhões de euros, o valor da cláusula de rescisao do guarda-redes esloveno."
"Portugal","Submarinos. Maioria “chumba” audiçao a Barroso, Portas deve ser ouvido a 18","O coordenador bloquista Joao Semedo sugeriu ainda o nome da eurodeputada socialista Ana Gomes para a lista de testemunhos"
"Dinheiro","OCDE. Angel Gurria alinha com governo em ligar aumento do salário minimo à produtividade","O fundamental é o que o primeiro-ministro disse: a unica maneira sustentável de aumentar salários é aumentar produtividade, sublinhou o secretário-geral da OCDE"
